88,conidEx,7720,7280,6070,7281,6509,7714,7715,31,55,7699,7698,_updated,server_id,7051,82,conid,6119,83,84,85,86,7706
"$5,000K",317277729,4.573%,Diversified Finan Serv,BOND,Finance-Consumer Loans,R,"Mar 15, 2026","May 11, 2018",100.5190,OMF,5.560%,5.726%,1761261291734,q65,American General Finance Corp,0.0000,317277729,q65,0.0,100.5700,"$5,000K",100.9470,BA2/BB (MOODY/SP)
,236142840,,Auto Parts&Equipment,BOND,Auto/Trk Prts&Equip-Orig,Z,"Jul 15, 2026","Jun 13, 2016",C99.780,TENINC,,,1761261294238,q66,Tenneco Inc,,236142840,q66,,,,,WR/NR (MOODY/SP)
$500K,101802454,,Aerospace/Defense,BOND,Aerospace/Defense-Equip,Z,"Feb 15, 2032","Feb 09, 2012",100.557,GE,4.497%,4.247%,1761261291734,q67,General Electric Co,0.000,101802454,q67,0.0,99.196,,,A3/A- (MOODY/SP)
"$5,000K",29219130,6.059%,Telecommunications,BOND,Wireless Equipment,R,"Oct 01, 2097","Oct 10, 1997",84.5050,MSI,6.362%,6.191%,1761261291734,q68,Motorola Solutions Inc,0.0000,29219130,q68,0.0,82.2480,"$5,000K",86.3370,BAA2/BBB (MOODY/SP)
$30K,310646270,5.108%,Oil&Gas,BOND,Oil Comp-Integrated,Z,"Mar 13, 2027","Mar 23, 2018",101.833,PEMEX,5.207%,5.108%,1761261291734,q69,Petroleos Mexicanos,0.000,310646270,q69,0.0,101.700,$74K,101.833,B1/BBB (MOODY/SP)
"$5,000K",376808743,4.231%,Mining,BOND,Metal-Copper,R,"Sep 01, 2029","Aug 15, 2019",101.7160,FCX,4.445%,4.192%,1761261291734,q70,Freeport-McMoRan Inc,0.0000,376808743,q70,0.0,101.4040,"$5,000K",101.6760,BAA2/BBB- (MOODY/SP)
$250K,132296188,,Aerospace/Defense,BOND,Aerospace/Defense-Equip,Z,"Aug 15, 2031","Aug 07, 2013",100.820,GE,4.269%,4.039%,1761261291734,q71,General Electric Co,0.000,132296188,q71,0.0,99.643,,,A3/A- (MOODY/SP)
"$5,000K",194104527,5.393%,Commercial Services,BOND,Consulting Services,R,"Jun 15, 2045","May 15, 2015",C100.9140,VRSK,5.462%,,1761261290712,q72,Verisk Analytics Inc,,194104527,q72,,100.4400,"$5,000K",101.2590,BAA1/BBB (MOODY/SP)
"$5,000K",305468666,5.528%,Oil&Gas Services,BOND,Oil-Field Services,R,"Feb 01, 2028","Feb 06, 2018",100.6630,OII,5.790%,5.647%,1761261291224,q73,Oceaneering International Inc,0.0000,305468666,q73,0.0,100.3930,"$5,000K",100.8850,BA3/BB (MOODY/SP)
$500K,120172586,,Aerospace/Defense,BOND,Aerospace/Defense-Equip,Z,"Jan 15, 2033","Jan 15, 2013",C94.135,GE,4.571%,,1761261291734,q74,General Electric Co,,120172586,q74,,94.684,,,A3/A- (MOODY/SP)
,528401340,,Coal,BOND,Coal,Z,"Dec 01, 2028","Dec 06, 2021",C102.1990,HCC,,,1761261291734,q75,Warrior Met Coal Inc,,528401340,q75,,,,,B1/BB+ (MOODY/SP)
"$5,000K",175048512,17.249%,Retail,BOND,Retail-Mail Order,R,"Aug 15, 2034","Dec 04, 2014",46.5000,QVCN,18.391%,17.624%,1761261291734,q76,QVC Inc,0.0000,175048512,q76,0.0,44.5660,"$5,000K",47.5190,CAA3/CCC (MOODY/SP)
$200K,128534615,,,BOND,,Z,"Jan 18, 2041","Oct 20, 2009",C91.351,CO,7.222%,,1761261291224,q77,Republic of Colombia,,128534615,q77,,89.952,,,BAA3/BB (MOODY/SP)
"$5,000K",73334579,6.224%,Electric,BOND,Electric-Generation,R,"Mar 15, 2040","Mar 12, 2010",101.7806,TACN,6.321%,6.309%,1761261291224,q78,TransAlta Corp,0.0000,73334579,q78,0.0,101.6700,"$5,000K",102.5930,BA1/BB+ (MOODY/SP)
,113443302,,Retail,BOND,Retail-Drug Store,Z,"Sep 15, 2042","Sep 13, 2012",C95.375,WBA,,,1761261294238,q79,Walgreen Co,,113443302,q79,,,,,WR/NR (MOODY/SP)
,356299512,4.239%,Computers,BOND,Computers,Z,"Oct 01, 2029","Mar 20, 2019",C103.820,DELL,,,1761261291734,q80,Dell International LLC / EMC C,,356299512,q80,,,$460K,103.590,BAA2/BBB (MOODY/SP)
"$5,000K",469366995,6.538%,Real Estate,BOND,Real Estate Oper/Develop,R,"Mar 01, 2031","Feb 11, 2021",92.9960,KW,6.687%,6.571%,1761261291734,q81,Kennedy-Wilson Inc,0.0000,469366995,q81,0.0,92.5120,"$5,000K",93.1470,B2/B (MOODY/SP)
"$5,000K",370736934,4.259%,Diversified Finan Serv,BOND,Finance-Leasing Compan,R,"Jun 15, 2026","Jun 13, 2019",99.8940,AYR,4.459%,4.412%,1761261291734,q82,Aircastle Ltd,0.0000,370736934,q82,0.0,99.8660,"$5,000K",99.9900,BAA2/BBB (MOODY/SP)
,305568874,4.423%,Oil&Gas,BOND,Oil Comp-Integrated,Z,"Feb 12, 2028","Feb 12, 2018",91.875,PEMEX,,,1761261291734,q83,Petroleos Mexicanos,0.000,305568874,q83,0.0,,$10K,102.000,B1/BBB (MOODY/SP)
"$5,000K",29162813,5.521%,Auto Manufacturers,BOND,Auto-Cars/Light Trucks,R,"Mar 01, 2030","Jun 04, 1998",114.1040,F,5.669%,5.600%,1761261290712,q84,Ford Holdings LLC,0.0000,29162813,q84,0.0,113.7970,"$5,000K",114.4070,BA1/BBB- (MOODY/SP)
"$5,000K",46953070,10.489%,Retail,BOND,Retail-Regnl Dept Store,R,"Dec 15, 2037","Sep 28, 2007",70.4700,KSS,11.482%,11.429%,1761261291224,q85,Kohl's Corp,0.0000,46953070,q85,0.0,70.2120,"$5,000K",75.4930,B3/BB- (MOODY/SP)
$475K,225389825,4.489%,,BOND,,Z,"Mar 17, 2028","Mar 17, 2016",98.4315,PA,4.655%,,1761261291734,q86,Panama Government International Bond,-0.1555,225389825,q86,-0.16,98.2470,$550K,98.6160,BAA3/BBB- (MOODY/SP)
"$5,000K",489137026,4.462%,Telecommunications,BOND,Telecom Services,R,"Nov 01, 2029","Apr 30, 2021",101.000,FYBR,4.823%,4.856%,1761261291224,q87,Frontier Communications Holdings LLC,0.000,489137026,q87,0.0,101.026,"$5,000K",101.381,CAA1/CCC+ (MOODY/SP)
"$5,000K",145935301,5.535%,Chemicals,BOND,Agricultural Chemicals,R,"Mar 15, 2044","Mar 11, 2014",97.5948,CF,5.598%,5.585%,1761261291734,q88,CF Industries Inc,0.0000,145935301,q88,0.0,97.4550,"$5,000K",98.1590,BAA2/BBB (MOODY/SP)
$250K,101802881,3.990%,Aerospace/Defense,BOND,Aerospace/Defense-Equip,Z,"Feb 15, 2027","Feb 09, 2012",99.521,GE,4.206%,4.377%,1761261291734,q89,General Electric Co,0.000,101802881,q89,0.0,99.735,$13K,100.008,A3/A- (MOODY/SP)
"$5,000K",555064609,7.363%,Oil&Gas,BOND,Oil Comp-Explor&Prodtn,R,"Apr 15, 2032","Apr 08, 2022",93.7280,HILCRP,7.524%,,1761261326543,q90,Hilcorp Energy I LP/Hilcorp Finance Co,0.0000,555064609,q90,0.0,93.5680,"$5,000K",94.3520,BA2/BB+ (MOODY/SP)
$425K,686758136,5.072%,,BOND,,Z,"Mar 01, 2031","Feb 29, 2024",110.6945,PA,5.178%,,1761261291734,q91,Panama Government International Bond,-0.1165,686758136,q91,-0.11,110.4400,$575K,110.9490,BAA3/BBB- (MOODY/SP)
$650K,298404184,3.892%,Insurance,BOND,Reinsurance,Z,"Dec 06, 2027","Dec 06, 2017",C99.7600,AXS,4.044%,,1761261291734,q92,AXIS Specialty Finance PLC,,298404184,q92,,99.9080,$100K,100.1940,BAA1/A- (MOODY/SP)
,317452626,,Oil&Gas,BOND,Oil Comp-Explor&Prodtn,Z,"Jun 01, 2026","May 23, 2018",C104.313,WPX,,,1761261294742,q93,WPX Energy Inc,,317452626,q93,,,,,WR/NR (MOODY/SP)
"$5,000K",172927800,5.086%,Auto Manufacturers,BOND,Auto-Cars/Light Trucks,R,"Apr 01, 2035","Nov 12, 2014",99.2568,GM,5.133%,5.100%,1761261291734,q94,General Motors Co,0.0000,172927800,q94,0.0,99.0120,"$5,000K",99.3570,BAA2/BBB (MOODY/SP)
"$5,000K",451963118,12.137%,Advertising,BOND,Advertising Services,R,"Nov 15, 2028","Oct 28, 2020",C85.2620,ADVSAL,12.571%,,1761261290712,q95,Advantage Sales & Marketing Inc,,451963118,q95,,84.9930,"$5,000K",85.9700,B3/B (MOODY/SP)
"$5,000K",95996397,5.561%,Chemicals,BOND,Agricultural Chemicals,R,"Nov 15, 2041","Oct 24, 2011",92.0660,MOS,5.779%,5.632%,1761261291224,q96,Mosaic Co/The,0.0000,95996397,q96,0.0,90.6230,"$5,000K",92.7800,BAA2/BBB (MOODY/SP)
,120272069,6.684%,,BOND,,Z,"Sep 18, 2037","Sep 19, 2006",C104.3070,CO,,,1761261291734,q97,Republic of Colombia,,120272069,q97,,,$200K,105.6000,BAA3/BB (MOODY/SP)
"$5,000K",613244051,5.911%,Diversified Finan Serv,BOND,Finance-Auto Loans,R,"Feb 14, 2033","Feb 13, 2023",104.5000,ALLY,5.979%,5.911%,1761261291734,q98,Ally Financial Inc,0.0000,613244051,q98,0.0,104.0970,"$5,000K",104.4930,BAA3/BB+ (MOODY/SP)
