ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,Fee Type,ExpenseIndicator,Revenue,Expense,Net,RevenueInBase,ExpenseInBase,NetInBase,Date,Description,TradeID,LevelOfDetail,ExecID,SettleDate,Buy/Sell,Quantity,TradePrice,Proceeds,Exchange,Symbol,UnderlyingSymbol,Multiplier,Expiration,Strike,Put/Call,SecurityID,UnderlyingSecurityID,file_name
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-3.2134,6.7866,10,-3.2134,6.7866,09/10/2024;14:07:49,Commission,6665215273,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.3067,7.6933,10,-2.3067,7.6933,09/10/2024;15:38:26,Commission,6665705120,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/10/2024;16:20:00,Commission,6666256548,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/10/2024;16:20:00,Commission,6666265200,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-0.8093926,9.1906074,10,-0.8093926,9.1906074,09/11/2024;10:48:49,Commission,6668083226,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,-0.1093926,-0.1093926,0,-0.1093926,-0.1093926,09/11/2024;10:48:50,Commission,6668083275,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-0.74335,9.25665,10,-0.74335,9.25665,09/11/2024;12:07:16,Commission,6668796984,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.03335,8.96665,10,-1.03335,8.96665,09/11/2024;12:55:04,Commission,6669178623,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,-1.0367,-1.0367,0,-1.0367,-1.0367,09/11/2024;12:55:04,Commission,6669178654,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.05585,8.94415,10,-1.05585,8.94415,09/11/2024;13:55:43,Commission,6669608474,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.0534,7.9466,10,-2.0534,7.9466,09/11/2024;13:59:26,Commission,6669635778,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.0487532,8.9512468,10,-1.0487532,8.9512468,09/11/2024;14:24:18,Commission,6669788347,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.7875624,7.2124376,10,-2.7875624,7.2124376,09/11/2024;15:12:37,Commission,6670170867,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-0.9218988,9.0781012,10,-0.9218988,9.0781012,09/11/2024;15:15:12,Commission,6670189994,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.1085868,8.8914132,10,-1.1085868,8.8914132,09/11/2024;15:28:42,Commission,6670300637,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.012178212,8.987821788,10,-1.012178212,8.987821788,09/11/2024;15:29:58,Commission,6670312279,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.0374188,8.9625812,10,-1.0374188,8.9625812,09/12/2024;09:50:46,Commission,6672256989,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,-1.8448376,-1.8448376,0,-1.8448376,-1.8448376,09/12/2024;09:50:46,Commission,6672257071,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,-0.6874188,-0.6874188,0,-0.6874188,-0.6874188,09/12/2024;09:50:46,Commission,6672257453,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.54005,8.45995,10,-1.54005,8.45995,09/12/2024;09:59:14,Commission,6672384736,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.05335,8.94665,10,-1.05335,8.94665,09/12/2024;11:03:22,Commission,6673262575,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.0534,7.9466,10,-2.0534,7.9466,09/12/2024;12:56:18,Commission,6674079859,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.05335,8.94665,10,-1.05335,8.94665,09/12/2024;13:20:10,Commission,6674231574,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.791232,7.208768,10,-2.791232,7.208768,09/12/2024;13:50:58,Commission,6674444195,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.065453,8.934547,10,-1.065453,8.934547,09/12/2024;13:58:31,Commission,6674518391,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.0517556,8.9482444,10,-1.0517556,8.9482444,09/12/2024;14:06:56,Commission,6674577270,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-3.31005,6.68995,10,-3.31005,6.68995,09/13/2024;11:00:56,Commission,6677679739,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.05335,8.94665,10,-1.05335,8.94665,09/13/2024;11:20:40,Commission,6677851008,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.062395,8.937605,10,-1.062395,8.937605,09/13/2024;12:37:36,Commission,6678456919,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,,,Commissions,Default,176.007967465,-12.674634134,163.333333331,176.007967465,-12.674634134,163.333333331,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/04/2024;12:46:13,Commission,6645024562,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/04/2024;12:46:13,Commission,6645024407,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/04/2024;13:32:57,Commission,6645277679,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;09:44:18,Commission,6653238112,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/06/2024;12:27:21,Commission,6655541969,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/06/2024;12:27:21,Commission,6655541982,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;12:27:21,Commission,6655541886,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/10/2024;09:56:02,Commission,6663265317,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/10/2024;12:29:30,Commission,6664724850,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,1.007967465,-1.007967465,0,1.007967465,-1.007967465,0,09/10/2024;15:51:58,Commission,6665820466,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/12/2024;13:52:02,Commission,6674458938,DETAIL,,,,,,,,,,,,,,,,732383
U1205554,U1205554 Rolando Ibarra,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/12/2024;13:52:02,Commission,6674458973,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,,,Commissions,Default,436.520163096,-90.298404764,346.221758332,436.520163096,-90.298404764,346.221758332,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/04/2024;14:02:01,Commission,6645429570,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;11:50:43,Commission,6655170042,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,0,-1.203283333,-1.203283333,0,-1.203283333,-1.203283333,09/06/2024;11:50:43,Commission,6655170246,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,0,-0.377625,-0.377625,0,-0.377625,-0.377625,09/06/2024;11:50:43,Commission,6655170255,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;13:56:15,Commission,6656218543,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;13:57:53,Commission,6656230053,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,75,-5,70,75,-5,70,09/10/2024;12:37:25,Commission,6664763536,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,26.17340123,-15.96980123,10.2036,26.17340123,-15.96980123,10.2036,09/12/2024;12:26:26,Commission,6673889535,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/13/2024;10:35:40,Commission,6677388624,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/13/2024;11:37:23,Commission,6677983486,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/13/2024;11:37:23,Commission,6677983482,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,3.97404134,-5.103374673,-1.129333333,3.97404134,-5.103374673,-1.129333333,09/13/2024;11:37:23,Commission,6677983488,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,4.7498474,-1.1098474,3.64,4.7498474,-1.1098474,3.64,09/13/2024;11:37:23,Commission,6677983492,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,4.7498196,-1.1098196,3.64,4.7498196,-1.1098196,3.64,09/13/2024;11:37:23,Commission,6677983509,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,7.1247294,-1.6647294,5.46,7.1247294,-1.6647294,5.46,09/13/2024;11:37:23,Commission,6677983510,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992335,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992327,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992332,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992338,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992342,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992347,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992349,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:37:59,Commission,6677992352,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:42:40,Commission,6678032989,DETAIL,,,,,,,,,,,,,,,,732383
U1206082,U1206082 Improsa Valores Puesto de Bolsa  S. A.,,USD,1,,Commissions,Default,6.5621843,-1.9421843,4.62,6.5621843,-1.9421843,4.62,09/13/2024;11:42:40,Commission,6678026147,DETAIL,,,,,,,,,,,,,,,,732383
